G_tag,I_tag,M_tag,cluster_id,estimate,formula,g,molType,mz_L,mz_R,q,tot_estimate_tmp,tot_intensity_tmp
G117,I475,M49,1,8.04378859522e-08,C22H33N4O4S1,0,z4,451.21,451.27,1,178.972108212,179.3
G121,I238,M24,1,18.5131709869,C41H66N14O9,0,c7,450.21,450.27,2,652.885819027,595.8
G111,I239,M24,1,9.43030095519,C41H66N14O9,0,c7,450.71,450.81,2,9.43030095519,121.8
G127,I241,M24,1,0.552405920646,C41H66N14O9,0,c7,451.71,451.81,2,0.552405920646,0.0
G117,I240,M24,1,2.69644752266,C41H66N14O9,0,c7,451.21,451.27,2,178.972108212,179.3
G128,I243,M24,1,0.0047374930448,C41H66N14O9,0,c7,452.71,452.81,2,0.0047374930448,0.0
G120,I242,M24,1,0.080875405107,C41H66N14O9,0,c7,452.21,452.27,2,80.5682619167,56.61
G136,I667,M65,2,84.4680609869,C52H77N12O11S1,0,z9,1081.52,1081.6,1,248.884052871,154.5
G137,I666,M65,2,15.32619544,C52H77N12O11S1,0,z9,1080.52,1080.6,1,799.781695404,278.5
G137,I665,M65,2,644.955768568,C52H77N12O11S1,0,z9,1080.52,1080.6,1,799.781695404,278.5
G137,I664,M65,2,139.499731396,C52H77N12O11S1,0,z9,1080.52,1080.6,1,799.781695404,278.5
G135,I663,M65,2,1759.74659469,C52H77N12O11S1,0,z9,1079.51,1079.6,1,1916.79290016,1248.0
G135,I662,M65,2,157.046305462,C52H77N12O11S1,0,z9,1079.51,1079.6,1,1916.79290016,1248.0
G133,I661,M65,2,3032.9540486,C52H77N12O11S1,0,z9,1078.51,1078.61,1,3032.9540486,3616.0
G153,I675,M65,2,1.00429254934,C52H77N12O11S1,0,z9,1084.52,1084.6,1,1.00429254934,0.0
G154,I673,M65,2,7.04740293925,C52H77N12O11S1,0,z9,1083.52,1083.6,1,7.04740293925,0.0
G136,I669,M65,2,93.8230413912,C52H77N12O11S1,0,z9,1081.52,1081.6,1,248.884052871,154.5
G136,I668,M65,2,70.5929504928,C52H77N12O11S1,0,z9,1081.52,1081.6,1,248.884052871,154.5
G152,I674,M65,2,4.0921167514,C52H77N12O11S1,0,z9,1083.52,1083.6,1,4.0921167514,0.0
G134,I672,M65,2,23.9211067984,C52H77N12O11S1,0,z9,1082.52,1082.6,1,60.4781550685,122.9
G134,I670,M65,2,3.72852573226,C52H77N12O11S1,0,z9,1082.52,1082.6,1,60.4781550685,122.9
G134,I671,M65,2,32.8285225379,C52H77N12O11S1,0,z9,1082.52,1082.6,1,60.4781550685,122.9
G138,I689,M66,2,-3.38505054447e-14,C52H77N12O11S1,1,z9,1084.52,1084.6,1,-3.38505054447e-14,0.0
G139,I688,M66,2,-5.82970052076e-14,C52H77N12O11S1,1,z9,1084.52,1084.6,1,-5.82970052076e-14,0.0
G135,I676,M66,2,-2.50889780945e-11,C52H77N12O11S1,1,z9,1079.51,1079.6,1,1916.79290016,1248.0
G137,I677,M66,2,-1.29910682933e-12,C52H77N12O11S1,1,z9,1080.52,1080.6,1,799.781695404,278.5
G136,I681,M66,2,-1.26780220041e-13,C52H77N12O11S1,1,z9,1081.52,1081.6,1,248.884052871,154.5
G136,I680,M66,2,-5.33515539312e-12,C52H77N12O11S1,1,z9,1081.52,1081.6,1,248.884052871,154.5
G134,I683,M66,2,-5.83953782419e-13,C52H77N12O11S1,1,z9,1082.52,1082.6,1,60.4781550685,122.9
G134,I682,M66,2,-6.98730444891e-13,C52H77N12O11S1,1,z9,1082.52,1082.6,1,60.4781550685,122.9
G137,I678,M66,2,-1.45568455897e-11,C52H77N12O11S1,1,z9,1080.52,1080.6,1,799.781695404,278.5
G136,I679,M66,2,-1.15395935747e-12,C52H77N12O11S1,1,z9,1081.52,1081.6,1,248.884052871,154.5
G141,I687,M66,2,-1.97878409908e-13,C52H77N12O11S1,1,z9,1083.52,1083.6,1,-1.97878409908e-13,0.0
G134,I684,M66,2,-7.76116021711e-13,C52H77N12O11S1,1,z9,1082.52,1082.6,1,60.4781550685,122.9
G151,I690,M66,2,-8.30763452637e-15,C52H77N12O11S1,1,z9,1085.52,1085.61,1,-8.30763452637e-15,0.0
G140,I685,M66,2,-3.08428347157e-14,C52H77N12O11S1,1,z9,1083.52,1083.6,1,-3.08428347157e-14,0.0
G142,I686,M66,2,-2.71561675392e-13,C52H77N12O11S1,1,z9,1083.52,1083.6,1,-2.71561675392e-13,0.0
G146,I703,M67,2,-5.82970050442e-14,C52H77N12O11S1,2,z9,1085.52,1085.61,1,-5.82970050442e-14,0.0
G155,I698,M67,2,-5.83953780767e-13,C52H77N12O11S1,2,z9,1083.52,1083.6,1,-5.83953780767e-13,0.0
G149,I699,M67,2,-7.76116019531e-13,C52H77N12O11S1,2,z9,1083.52,1083.6,1,-7.76116019531e-13,0.0
G143,I700,M67,2,-3.08428346293e-14,C52H77N12O11S1,2,z9,1084.52,1084.6,1,-3.08428346293e-14,0.0
G144,I701,M67,2,-2.71561674631e-13,C52H77N12O11S1,2,z9,1084.52,1084.6,1,-2.71561674631e-13,0.0
G145,I702,M67,2,-1.97878409353e-13,C52H77N12O11S1,2,z9,1084.52,1084.6,1,-1.97878409353e-13,0.0
G134,I695,M67,2,-5.33515537816e-12,C52H77N12O11S1,2,z9,1082.52,1082.6,1,60.4781550685,122.9
G136,I692,M67,2,-1.29910682568e-12,C52H77N12O11S1,2,z9,1081.52,1081.6,1,248.884052871,154.5
G148,I705,M67,2,-8.30763450304e-15,C52H77N12O11S1,2,z9,1086.51,1086.61,1,-8.30763450304e-15,0.0
G136,I693,M67,2,-1.45568455489e-11,C52H77N12O11S1,2,z9,1081.52,1081.6,1,248.884052871,154.5
G134,I696,M67,2,-1.26780219696e-13,C52H77N12O11S1,2,z9,1082.52,1082.6,1,60.4781550685,122.9
G150,I697,M67,2,-6.98730442955e-13,C52H77N12O11S1,2,z9,1083.52,1083.6,1,-6.98730442955e-13,0.0
G147,I704,M67,2,-3.38505053498e-14,C52H77N12O11S1,2,z9,1085.52,1085.61,1,-3.38505053498e-14,0.0
G134,I694,M67,2,-1.15395935425e-12,C52H77N12O11S1,2,z9,1082.52,1082.6,1,60.4781550685,122.9
G137,I691,M67,2,-2.50889780241e-11,C52H77N12O11S1,2,z9,1080.52,1080.6,1,799.781695404,278.5
G3,I28,M1,3,24.4296691507,C63H98N18O13S1,1,precursor,1353.7,1353.77,1,201.319499092,428.9
G3,I29,M1,3,22.5896969342,C63H98N18O13S1,1,precursor,1353.7,1353.77,1,201.319499092,428.9
G5,I23,M1,3,318.147580474,C63H98N18O13S1,1,precursor,1351.69,1351.77,1,2417.88735043,2688.0
G1,I19,M1,3,283.69678627,C63H98N18O13S1,1,precursor,1350.69,1350.77,1,5836.78739583,6602.0
G4,I18,M1,3,4657.7437796,C63H98N18O13S1,1,precursor,1349.69,1349.77,1,9985.15578226,9268.0
G1,I20,M1,3,1863.02712994,C63H98N18O13S1,1,precursor,1350.69,1350.77,1,5836.78739583,6602.0
G1,I21,M1,3,67.1508402709,C63H98N18O13S1,1,precursor,1350.69,1350.77,1,5836.78739583,6602.0
G5,I22,M1,3,17.6543177163,C63H98N18O13S1,1,precursor,1351.69,1351.77,1,2417.88735043,2688.0
G3,I30,M1,3,0.572764002623,C63H98N18O13S1,1,precursor,1353.7,1353.77,1,201.319499092,428.9
G5,I24,M1,3,444.079287747,C63H98N18O13S1,1,precursor,1351.69,1351.77,1,2417.88735043,2688.0
G2,I25,M1,3,13.3721780247,C63H98N18O13S1,1,precursor,1352.7,1352.77,1,778.846935119,1116.0
G2,I26,M1,3,83.3194868109,C63H98N18O13S1,1,precursor,1352.7,1352.77,1,778.846935119,1116.0
G2,I27,M1,3,121.155986913,C63H98N18O13S1,1,precursor,1352.7,1352.77,1,778.846935119,1116.0
G8,I33,M1,3,2.03530564301,C63H98N18O13S1,1,precursor,1354.7,1354.78,1,2.03530564301,0.0
G9,I32,M1,3,3.26312330104,C63H98N18O13S1,1,precursor,1354.7,1354.78,1,3.26312330104,0.0
G10,I31,M1,3,2.57548914014,C63H98N18O13S1,1,precursor,1354.7,1354.78,1,2.57548914014,0.0
G0,I17,M1,3,5993.92511124,C63H98N18O13S1,1,precursor,1348.68,1348.78,1,8553.90069756,8822.0
G5,I9,M0,3,45.7938139567,C63H98N18O13S1,0,precursor,1351.69,1351.77,1,2417.88735043,2688.0
G5,I8,M0,3,7.34957758499,C63H98N18O13S1,0,precursor,1351.69,1351.77,1,2417.88735043,2688.0
G4,I2,M0,3,155.924602369,C63H98N18O13S1,0,precursor,1349.69,1349.77,1,9985.15578226,9268.0
G0,I1,M0,3,2559.97558632,C63H98N18O13S1,0,precursor,1348.68,1348.78,1,8553.90069756,8822.0
G6,I0,M0,3,3294.36368274,C63H98N18O13S1,0,precursor,1347.68,1347.78,1,3294.36368274,3262.0
G4,I3,M0,3,1023.95155143,C63H98N18O13S1,0,precursor,1349.69,1349.77,1,9985.15578226,9268.0
G3,I16,M0,3,1.11863876661,C63H98N18O13S1,0,precursor,1353.7,1353.77,1,201.319499092,428.9
G1,I5,M0,3,9.70311474515,C63H98N18O13S1,0,precursor,1350.69,1350.77,1,5836.78739583,6602.0
G5,I10,M0,3,66.5894010727,C63H98N18O13S1,0,precursor,1351.69,1351.77,1,2417.88735043,2688.0
G1,I7,M0,3,244.073566263,C63H98N18O13S1,0,precursor,1350.69,1350.77,1,5836.78739583,6602.0
G2,I12,M0,3,12.4156835134,C63H98N18O13S1,0,precursor,1352.7,1352.77,1,778.846935119,1116.0
G2,I11,M0,3,13.4269636904,C63H98N18O13S1,0,precursor,1352.7,1352.77,1,778.846935119,1116.0
G3,I15,M0,3,1.79346833598,C63H98N18O13S1,0,precursor,1353.7,1353.77,1,201.319499092,428.9
G2,I13,M0,3,0.314800884897,C63H98N18O13S1,0,precursor,1352.7,1352.77,1,778.846935119,1116.0
G3,I14,M0,3,1.41553284886,C63H98N18O13S1,0,precursor,1353.7,1353.77,1,201.319499092,428.9
G4,I4,M0,3,36.9072494815,C63H98N18O13S1,0,precursor,1349.69,1349.77,1,9985.15578226,9268.0
G1,I6,M0,3,174.859347658,C63H98N18O13S1,0,precursor,1350.69,1350.77,1,5836.78739583,6602.0
G2,I39,M2,3,12.1073156505,C63H98N18O13S1,2,precursor,1352.7,1352.77,1,778.846935119,1116.0
G5,I38,M2,3,46.0519875319,C63H98N18O13S1,2,precursor,1351.69,1351.77,1,2417.88735043,2688.0
G5,I37,M2,3,1277.66237643,C63H98N18O13S1,2,precursor,1351.69,1351.77,1,2417.88735043,2688.0
G5,I36,M2,3,194.559007921,C63H98N18O13S1,2,precursor,1351.69,1351.77,1,2417.88735043,2688.0
G1,I35,M2,3,3194.27661068,C63H98N18O13S1,2,precursor,1350.69,1350.77,1,5836.78739583,6602.0
G4,I34,M2,3,4110.62859938,C63H98N18O13S1,2,precursor,1349.69,1349.77,1,9985.15578226,9268.0
G7,I50,M2,3,1.39581083003,C63H98N18O13S1,2,precursor,1355.7,1355.78,1,1.39581083003,0.0
G11,I48,M2,3,1.76626819995,C63H98N18O13S1,2,precursor,1355.7,1355.78,1,1.76626819995,0.0
G12,I49,M2,3,2.23784710614,C63H98N18O13S1,2,precursor,1355.7,1355.78,1,2.23784710614,0.0
G13,I46,M2,3,15.4919944019,C63H98N18O13S1,2,precursor,1354.7,1354.78,1,15.4919944019,0.0
G14,I47,M2,3,0.392801052096,C63H98N18O13S1,2,precursor,1354.7,1354.78,1,0.392801052096,0.0
G3,I44,M2,3,83.0886698696,C63H98N18O13S1,2,precursor,1353.7,1353.77,1,201.319499092,428.9
G15,I45,M2,3,16.753845739,C63H98N18O13S1,2,precursor,1354.7,1354.78,1,16.753845739,0.0
G3,I42,M2,3,9.17062799488,C63H98N18O13S1,2,precursor,1353.7,1353.77,1,201.319499092,428.9
G3,I43,M2,3,57.140431189,C63H98N18O13S1,2,precursor,1353.7,1353.77,1,201.319499092,428.9
G2,I40,M2,3,218.185332457,C63H98N18O13S1,2,precursor,1352.7,1352.77,1,778.846935119,1116.0
G2,I41,M2,3,304.549187174,C63H98N18O13S1,2,precursor,1352.7,1352.77,1,778.846935119,1116.0
G252,I252,M25,4,0.0580368572443,C50H75N15O10,-1,c8,1049.55,1049.63,1,0.0580368572443,0.0
